,text,sentiment
16,"['take', 'unique', 'mix', 'delusion', 'corruption', 'greed', 'egomania', 'ignorance', 'produce', 'wework', 'disaster', 'not', 'think', 'comparison', 'business', 'pour', '18', 'billion', 'sheer', 'fantasy', 'government', 'typically']",1
17,"['not', 'talk', 'multiple', 'not', 'many', 'zero', 'factor', 'probably', 'many', 'comma', 'number']",2
18,"['wework', 'pull', 'thousand', 'phone', 'booth', 'service', 'formaldehyde', 'scare']",2
19,"['wework', 'throw', 'towel', 'ill-fated', 'ipo']",1
20,"['softbank', 'reveals', '6.5', 'billion', 'loss', 'uber', 'wework', 'turmoil']",1
21,"['boston', 'fed', 'rosengren', 'low', 'rate', 'could', 'expose', 'co-working', 'company', 'like', 'wework', 'via']",1
22,"['amazon', 'acquire', 'wework', 'would', 'another', 'power', 'move', 'global', 'domination', 'wonder', 'get', 'reasonable', 'price']",2
23,"['elizabeth', 'holmes', 'not', 'jail', 'yet', 'start', 'think', 'wework', 'theranos', 'level', 'scam']",1
24,"['many', 'thanks', 'one', 'event', 'sponsor', 'provide', 'chip', 'keep', 'belly', 'full']",2
25,"['merryn', 'somserset', 'webb', 'founder', 'wework', 'woodford', 'asset', 'management', 'able', 'jump', 'ship', 'rich', 'men']",2
26,"['wework', 'meetup', 'would', 'support', 'event', 'interest', 'venue', 'space', 'barcelona', 'coworking', 'orgs', 'would', 'first', 'route']",2
27,"['two', 'kind', 'compass', 'suffer', 'fate', 'wework']",1
28,"['softbank', 'seek', 'control', 'wework', 'financing', 'package', 'wsj', 'via']",2
29,"['wework', 'profile', 'company', 'crisis', 'ft', 'via']",1
30,"['goldman', 'sachs', 'unloaded', 'wework', 'share', 'investment', 'banker', 'pitch', 'investor', 'consider', '60', 'billion-plus', 'ipo']",2
31,"['wework', 'failure', 'softbank', 'day', 'reckon', 'wire']",1
32,"['without', 'new', 'cash', 'wework', 'unsustainable', 'not', 'constant', 'need', 'new', 'cash', 'definition', 'unsustainable', 'wework', 'could', 'run', 'cash', 'next', 'month', 'seek', 'immediate', 'bailout', 'zero', 'hedge']",1
33,"['wework', 'mull', 'either', 'downward', 'valuation', 'revision', 'outright', 'ipo', 'cancellation']",1
34,"['founder', 'walk', 'away', '1.7', 'bn', '4,000', 'lose', 'job', 'today', 'cc']",1
35,"['wework', 'bond', 'price', 'fall', 'softbank', 'question', 'ceo', 'marketaxess']",1
36,"['schumpeter', 'wework', 'show', 'venture', 'capitalist', 'world', 'make-believe', 'vía']",1
37,['control'],2
38,"['guess', 'mean', 'not', 'joint', 'venture', 'wework', 'either']",2
39,"['use', 'gifs', 'reply', 'go', 'play', 'adam', 'neumann', 'wework', 'movie']",1
40,"['wework', 'reportedly', 'cut', '2,000', 'job', 'soon', 'week', 'staff', 'turn', 'adam', 'neumann']",1
41,"['cite', 'concern', 'wework', 'not', 'able', 'fund', 'growth', 'plan']",1
42,"['wework', 'staff', 'chat', 'slack', 'via']",2
43,"['wework', 'plan', 'ramp', 'marketing', 'spend', 'go', 'public']",2
44,"['corsham', 'street', 'today', '3pm', '6pm', 'register', 'potential', 'donor', 'save', 'someone', 'life']",2
45,"['wework', 'concern', 'seep', 'singapore', 'real', 'estate', 'sector', 'bloomberg']",1
46,"['softbank', 'reportedly', 'take', 'control', 'wework', 'run', 'list', 'japanese', 'giant', 'major', 'investment', 'tech']",2
47,"['softbank', 'take', 'control', 'wework', 'wsj']",2
48,"['wework', 'ceo', 'adam', 'neumann', 'step']",2
49,"['wework', 'say', 'file', 'withdraw', 'ipo']",2
50,"['softbank', 'ceo', 'say', 'rescue', 'investment', 'wework', 'debacle']",1
51,"['lmao', 'company', 'rent', 'office', 'space', 'wework', 'told', 'u', 'recall', 'phone', 'booth', 'workspace', 'elevate', 'level', 'formaldehyde']",1
52,"['wework', 'seem', 'unicorn', 'unicorn', 'think', 'unravel', 'badly', 'much', 'hype', 'one']",1
53,"['solution', 'folk', 'buy', 'hell', 'work']",2
54,"['overvalue', 'world']",1
55,"['wework', 'ceo', 'adam', 'neumann', 'tell', 'employee', 'humble', 'collapse', 'firm', 'ipo']",2
56,"['scoop', 'adam', 'neumann', 'determine', 'wework', 'fate']",2
57,"['softbank', 'seek', 'avoid', 'wework', 'liability', 'new', 'investment', 'source']",2
58,"['explainer', 'uber', 'lyft', 'wework', 'tech', 'company', 'lose', 'money']",2
59,"['outlook', 'public', 'debut', 'wework', 'rack', 'billion', 'dollar', 'loss', 'recent', 'year', 'company', 'fund', 'grand', 'ambition', 'cool', 'disappointment', 'major', 'ipo', 'year', 'lyft', 'inc', 'uber', 'technology', 'inc']",1
60,"['cnbc', 'wework', 'reportedly', 'expect', 'lay', '2,000', 'worker', 'early', 'week', 'via']",1
61,"['10x', 'genomics', 'bump', 'ipo', 'price', 'range', 'not', 'wework', 'look', 'like', 'softbank', 'win']",2
62,"['ceo', 'david', 'warn', 'growth', 'stock', 'like', 'via']",2
63,"['save', 'date', 'work', 'woman', 'wednesday', 'back', 'fall', 'kick', 'series', 'october', '16', 'not', 'want', 'miss', 'grab', 'girlfriend', 'meet', 'u', 'apollo', 'shaw', 'metro', 'station', 'register', '___pic']",2
64,"['thank', 'kind', 'word', 'daniel', 'wish', 'best', 'make', 'sure', 'make', 'voice', 'heard']",2
65,"['fact', 'opportunity', 'work', 'og', 'wework', 'qualifies', 'millennial', 'boy', 'scout', 'patch']",2
66,"['not', 'valuation', 'quite', 'high', 'back', 'phil', 'broughton', 'note', 'last', 'week', 'wework', 'not', 'completely', 'dumb', 'idea', '10', 'year', 'ago', 'real', 'estate', 'cheap', 'lot', 'people', 'work', 'enough', 'cash', 'dream']",2
67,[],2
68,"['softbank', 'take', '80', 'ownership', 'wework', 'announces', 'billion', 'new', 'financing', 'package']",2
69,"['datadog', 'set', 'ipo', 'term', '5.9', 'billion', 'market', 'cap', 'price', 'middle', 'could', 'q4', 'version', 'zoom', 'overlook', 'saas', 'favor', 'flashier', 'offering', 'lyft', 'uber', 'wework', 'not']",2
70,"['wework', 'flaw', 'offer', 'space', 'go', 'startup', 'send', 'dickhead', 'coworkers', 'house']",1
71,"['jefferies', 'financial', 'group', 'earnings', 'take', 'hit', 'unlikely', 'source', 'drop', 'valuation']",1
72,"['see', 'post', 'day', 'ago', 'wework', 'disintegrate']",1
73,"['fall', 'wework', 'adam', 'neumann']",1
74,"['500', 'not', 'overvalue', 'wework', 'uber', 'tesla', 'legitimately', 'multi-billion', 'dollar', 'company', 'sock', 'puppet', 'mascot', 'impressed', 'amount', 'rigor', 'apply', 'institutional', 'equity', 'market', 'analyst', 'self-serving', 'sheep']",1
75,"['pay', 'soon', 'smile', 'not', 'believe', 'stay', 'tune']",2
76,"['not', 'even', 'sure', 'business', 'need', 'make', 'money', 'vcs', 'business', 'funding', 'company', 'hope', 'someday', 'become', 'profitable', 'think', 'real', 'story', 'grossly', 'softbank', 'mismanage', 'wework', 'not', 'come', 'surprise']",1
77,"['wework', 'trouble', 'leave', 'door', 'open', 'landlord']",1
78,"['bye', 'bye', 'stay', 'private', 'let', 'softbank', 'pay', 'loss', 'not', 'want']",1
79,"['wework', 'delay', '20bn', 'ipo', 'struggle', 'interest', 'investor']",1
80,"['oracle', 'founder', 'larry', 'ellison', 'call', 'uber', 'wework', 'almost', 'worthless', 'via']",1
81,"['take', 'wework', 'incredibly', 'important', 'development', 'success', 'big', 'unicorn', 'use', 'evidence', 'raise', 'ten', 'billion', 'dollar', 'new', 'vc', 'fund', 'justify', 'countless', 'new', 'startup']",2
82,"['knotel', 'push', 'billion', 'highlight', 'landlord', 'stumble', 'small', 'competitor', 'cash', 'read']",1
83,"['accounting', 'manager', 'venture', 'london', 'united', 'kingdom', 'wework', 'venture', 'accounting', 'manager']",2
84,"['compass', 'opendoor', 'wework', 'problem']",1
85,[],2
86,"['nuh', 'uh']",2
87,"['wework', 'weworry', 'weak', 'wi-fi', 'security', 'create', 'much', 'risk', 'make', 'sure', 'protect', 'information']",2
88,"['wework', 'may', 'drop', 'valuation', '20b', 'dow', 'jones']",1
89,"['wework', 'new', 'chairman', 'say', 'job', 'cut', 'come', 'internal', 'memo']",2
90,"['puppy', 'appear', 'lose', 'interest', 'wework']",2
91,"['softbank', 'reportedly', 'prep', 'package', 'take', 'control', 'wework', 'parent', 'company.https']",2
92,"['glmがwework日比谷パークフロントで不動産投資セミナー開始', '夜間開催も']",2
93,"['wework', 'ceo', 'adam', 'neumann', 'ipo']",2
94,"['go', 'woke', 'make', 'company', 'like', 'california', 'utility', 'wework', 'go', 'broke']",1
95,"['good', 'coffee', 'nice', 'light', 'stairwell', 'desk', '. . . . . . .']",3
96,"['financing', 'package', 'could', 'also', 'mean', 'financing', 'trip', 'bankruptcy', 'try', 'buy', 'whole', 'thing', 'shed', 'unattractive', 'liability', 'sayin']",1
97,"['name', 'company', 'important', 'confuse', 'name', 'lead', 'sentence', 'like', 'confirm', 'mr', 'neumann', 'ouster', 'wall', 'street', 'journal', 'report', 'without', 'give', 'detail', 'sentence', 'refers', 'wework', 'not', 'wsj']",2
98,"['new', 'top', 'story', 'hacker', 'news', 'deal', 'softbank', 'plan', '5b', 'rescue', 'financing', 'wework']",2
99,"['forget', 'wework', 'threatens', 'entire', 'economy']",1
100,"['wework', 'may', 'cut', 'ipo', 'valuation', 'billion', 'wework', 'one', 'high-profil']",1
101,"['hot', 'not', 'timeline', 'wework', 'ipo', 'implosion', 'via']",1
102,"['executive', 'race', 'city', 'city', 'attempt', 'win', 'increasingly', 'skeptical', 'investor']",2
103,"['hashtag', 'trend', 'amc', 'stream', 'wework', 'issue', 'via']",1
104,"['tell', 'wework', 'beat', 'use', 'calmer']",2
105,"['oh', 'shit', 'wework', 'lawyer', 'call', 'say', 'infringe', 'trademark', 'previous', 'tweet', 'go', 'sue', 'u', 'not', 'put', 'follow', 'statement', 'go', 'firmly', 'believe', 'wework', 'great', 'company', 'buy', 'ipo']",1
106,"['masa', 'folly', 'wework', 'differs', 'uber', 'airbnb']",2
107,"['wework', 'icebergでshopify', 'ミートアップ開催中です']",2
108,"['wonderful', 'event', 'yesterday', 'host', 'partner', 'look', 'forward', 'tonight', '4pm', 'pst', 'stay', 'tune', 'follow', 'along', 'event']",3
109,"['softbank', 'seek', 'avoid', 'wework', 'liability', 'new', 'investment', 'source', 'new', 'york', 'reuters', 'softbank', 'group', 'corp', '9984', 'not', 'attempt', 'become', 'majority', 'owner', 'wework', 'without', 'assume', 'onerou']",1
110,"['greedy', 'ipo', 'proceeds', 'even', 'fear']",1
111,"['wework', 'could', 'run', 'money', 'next', 'month', 'report', 'gizmodo', 'wework', 'could', 'run', 'money', 'next', 'month', 'report', 'gizmodo', 'wework', 'say', 'talk', 'lender', '5b', 'debt', 'package', 'bloomberg', 'technology', 'wework', 'run', 'cash', 'quartz', 'wework', 'coul']",1
112,"['piece', 'chock-full', 'incredible', 'quote', 'not', 'know', 'clip', 'paragraph', 'precious', 'though', 'wework', 'spell', 'end', 'illusion', 'distressed', 'asset', 'wonder']",1
113,"['tune', 'right', 'info', 'future', 'conference', 'happen', 'saturday', '10/5']",2
114,"['waste', 'hour', 'work', 'today', 'sit', 'toilet', 'reading', 'tweet', 'realize', 'hour', 'make', 'combine', 'profit', 'tesla', 'uber', 'lyft', 'wayfair', 'wework', 'ostk', 'might', 'god-king']",1
115,"['softbank', 'reportedly', 'end', 'wework', 'ownership', 'debacle', 'potential', '1.7', 'billion', 'windfall', 'adam', 'neumann']",1
116,"['please', 'buy', 'one', 'toy', 'homeless', 'child', 'softbank', 'take', 'control', 'wework', 'wsj', 'see']",2
117,"['softbank', 'plan', 'second', 'mega-fund', 'hit', 'wework', 'debacle']",1
118,"['evidence', 'expose', 'wework', 'economic', 'slowdown']",1
119,"['another', 'zombie', 'industry']",1
120,"['wework', 'ipo', 'filing', 'audacious', 'prospectus', 'ever', 'see', 'company', 'disrupts', 'big', 'industry', 'double', 'revenue', 'every', 'year', 'exposure', 'economic', 'risk', 'valuation', 'absolute', 'founder', 'control', 'simply', 'extraordinary']",2
121,"['slack', 'stock', 'downhill', 'pintrest', 'static', 'wework', 'valuation', 'downgrade', 'underwriter', 'ipo', 'not', 'see', 'silver', 'line']",1
122,"['com', 'founder', 'make', 'best', 'business', 'move', 'yet', 'quit', 'via']",1
123,"['goldman', 'take', 'wework', '80', 'million', 'goldman', 'hold', 'bag', 'make', 'feel', 'great']",1
124,"['wework', 'allege', 'pregnancy', 'discrimination', 'juul', 'meltdown', 'cost', 'altria', '4.5', 'billion', 'leon', 'cooperman', 'take', 'elizabeth', 'warren', 'today', 'dealbook', 'briefing']",1
125,"['valuation', 'fiction']",2
126,"['wework', 'crash', 'might', 'resolve']",1
127,"['vc', 'ben', 'horowitz', 'wework', 'uber', 'one', 'cultural', 'value', 'employee', 'not', 'break', 'techcrunch']",2
128,"['provide', 'lifeline']",2
129,"['wework', 'sell', 'conductor', 'seo', 'company', 'layoff', 'possible', 'via', 'martinibuster']",2
130,['wework'],2
131,"['adam', 'neumann', 'fly', 'high', 'literally', '. ...', 'wework', 'month', 'away', 'value', '47', 'billion', 'revenue', 'double', 'annually', 'mr', 'neumann', 'zip', 'across', 'atlantic', 'ocean', 'gulfstream', 'g650', 'private', 'jet', 'smoking', 'marijuana']",1
132,"['seem', 'obviously', 'smart', 'long', 'term', 'need', 'people', 'stop', 'shovel', 'money', 'unprofitable', 'competitor', 'need', 'take', 'short', 'term', 'hit', 'throw', 'fuel', 'fire', 'wework', 'start', 'brainer']",2
133,"['enormous', 'new', 'fund', 'ipo', 'plan', 'pizza', 'executive', 'move', 'pe', 'join', 'ongoing', 'saga', 'recap', 'week']",2
134,"['nvta', 'stock', 'go', '23', '2015', '2018', 'turd', 'unsustainable', 'business', 'model', 'finance', 'endless', 'shareholder', 'cash', 'infusion', 'fly', 'far', 'fall', 'earth']",1
135,"['wework', 'not', 'first', 'coworking', 'company', 'found', '2010']",2
136,"['easy', 'wework', 'u']",2
137,"['softbank', 'seek', 'control', 'wework', 'financing', 'package', 'source', 'article', 'amp', 'reuters']",2
138,"['like', 'softbank', 'wework', 'drama', 'guess', 'another', 'one', 'funny', 'update', 'still', 'come', 'forward']",2
139,"['wework', 'reference']",2
140,"['new', 'article', 'without', 'deal', 'wework', 'would', 'money', 'next', 'month', 'source', 'say', 'october', '23', '2019']",2
141,"['phoenix', 'news', 'softbank', 'massive', 'wework', 'bailout', 'hand', 'oust', 'founder', '1.7', 'billion', 'golden', 'parachute', 'cnn']",2
142,"['big', 'number', 'billion', '47', 'billion', 'sum', 'wework', 'business', 'model', 'risky', 'reason', 'could', 'collapse', 'recession']",1
143,"['reread', 'decline', 'offer', 'email', 'wework']",2
144,"['business', 'insider', 'wework', 'valuation', 'could', 'reportedly', 'slip', 'billion', 'part', 'softbank', 'propose', 'bailout', 'embattle', 'company']",2
145,"['sell', 'softbank', 'sftby']",2
146,"['wework', 'landlord', 'buckle']",2
147,"['ceo', 'own', 'real', 'estate', 'separate', 'wework', 'company', 'lease', 'property', 'wework', 'company', 'go', 'neumann', 'still', 'property']",2
148,"['tomorrow', 'sept', '17', '7-9', 'pm', 'give', 'talk', 'autumn', 'winter', 'month', '2019', 'peek', '2020', '902', 'broadway', 'event', 'open', 'member', 'non-members', 'ticket', '45', 'tkts', 'sell', 'left', 'lot', 'tkt', 'call']",2
149,"['summary', 'wework', 'plan', 'shift', 'focus', 'business', 'already', 'successful', 'enough', 'not', 'need', 'shorter', 'term', 'flexibility', 'wework', 'sell']",2
150,"['softbank', 'wework', 'large', 'investor', 'take', 'control', 'embattle', 'office', 'company', 'co-founder', 'adam', 'neumann', 'step']",2
151,"['wework', 'ceo', 'adam', 'neumann', 'expect', 'step', 'remain', 'nonexecutive', 'chairman', 'via']",2
152,"['next', 'panicked', 'headline', 'wework', 'uber', 'snapchat']",1
153,"['hopeful', 'wework', 'add', 'woman', 'board', 'ceo', 'return', 'u', '5.9', 'backlash', 'business', 'time']",2
154,"['ebitda', 'bullshit', 'begin', 'developed', '80', 'value', 'distress', 'company', 'ubiquitous', 'metric', 'ask', 'wework', 'pay', 'bill', 'community', 'adjust', 'ebitda']",2
155,"['wework', 'oust', 'adam', 'neumann', 'sideline', 'pregnant', 'employee', 'claim']",1
156,"['real', 'story', 'work', 'data', 'mining', 'hundred', 'thousand', 'company', 'rent', 'office', 'space', 'people', 'work', 'imagine', 'value', 'information', 'country', 'like', 'say', 'china']",1
157,"['wework', 'delay', 'ipo', 'realize', 'investor', 'may', 'not', 'interested']",2
158,['next'],2
159,"['adam', 'neumann', 'reportedly', 'busy', 'surf', 'maldives', 'return', 'new', 'york', 'go', 'wework', 'ipo', 'paperwork', 'employee', 'travel']",2
160,"['wall', 'street', 'give', 'adam', 'neumann', '500', 'million', 'go', 'pay', 'back', 'wework', 'ipo', 'offering', 'pull', 'bank', 'scramble', 'hammer', 'solution']",2
161,"['softbank', 'reportedly', 'end', 'wework', 'ownership', 'debacle', 'potential', '1.7', 'billion', 'windfall', 'adam', 'neumann', 'techcrunch']",2
162,"['wework', 'plan', 'list', 'nasdaq', 'company', 'also', 'say', 'want', 'make', 'change', 'propose', 'governance', 'structure', 'name', 'lead', 'independent', 'director', 'end', 'year']",2
163,"['wework', 'ipo', 'spell', 'rough', 'land', 'ceo', 'neumann', 'reuters']",1
164,"['pod', 'quote', 'day', 'anytime', 'say', 'back', 'napkin', 'legit', 'note', 'shelby', 'music', 'row']",2
165,"['listen', 'live', 'james', 'max', 'currency', 'round', 'loose', 'change', 'wework', 'multi-billion-dollar', 'softbank', 'rescue', 'way', 'help', 'sandwich', 'generation']",2
166,"['wework', 'slash', 'valuation', 'half', '47', 'billion', 'little', '20', 'billion', 'make', 'wonder', 'possibly', 'justified', 'former', 'true', 'price', 'floor', 'willing', 'settle', 'latter']",1
167,"['próximo', 'viernes', 'en', 'wework']",2
168,"['softbank', 'ceo', 'say', 'rescue', 'investment', 'wework', 'debacle']",1
169,"['fire', 'adam', 'neumann', 'not', 'solve', 'wework', 'entire', 'business', 'model', 'ponzi', 'scheme']",1
170,"['congrats', 'welcome', 'nyc', 'see', 'next', 'week']",2
171,"['despite', 'trouble', 'share', 'flex', 'office', 'stay']",2
172,"['wework', 'loses', 'chief', 'communication', 'officer', 'ahead', 'plan', 'ipo']",2
173,"['wework', 'pull', 'public', 'offering', 'faivish', 'pewzner']",2
174,"['loses', 'ipo', 'implosion']",1
175,"['chicagobars', 'wework', 'say', 'hi', 'teddy']",2
176,"['stretch', 'small', 'handful', 'reit', 'exposure', 'wework', 'minimal']",2
177,"['wework', 'downgrade', 'ccc', 'fitch', 'follow', 'ipo', 'withdrawal', 'wework', 'weighs', 'pullback', 'china', 'dj', 'say', 'code', 'filing', 'bankruptcy']",1
178,"['funny', 'timing', 'search', 'not', 'name', 'manufacturer', 'anywhere', 'not', 'one', 'receive', 'negative', 'press']",2
179,"['wework', 'fall', 'lose', 'nearly', '40', 'billion', 'value', 'mark', 'stun', 'collapse', 'little', 'precedent', 'falta', 'de', 'transparencia', 'el', 'emperador', 'quedó', 'sin', 'ropa', 'apenas', 'tuvo', 'que', 'presentar', 'el', 'por', 'eso', 'hay', 'que', 'ver', 'más', 'allá', 'del', 'humo', 'se', 'puede']",1
180,"['wework', 'ipo', 'spell', 'rough', 'land', 'ceo', 'neumann', 'top']",1
181,"['approach', 'landlord', 'owner', 'building', 'want', 'coworking', 'asset', 'turn', 'away', 'wework', 'toward', 'company', 'sustainable', 'business', 'model', 'workbar', 'ceo', 'sarah', 'travers', 'say']",1
182,"['wework', 'tough', 'sunday', 'business', 'post', 'via']",3
183,"['digitalchamber', 'wework', 'prof', 'venture', 'capitalism', 'work']",3
184,"['new', 'top', 'story', 'hacker', 'news', 'wework', 'story', 'bizarre', 'not', 'even', 'get', 'outrage']",2
185,"['wework', 'rt', 'genuine', 'accountability', 'unfashionable', 'right', 'now.https']",1
186,"['wework', 'reportedly', 'get', 'esports', 'play', 'could', 'rent', 'offfice', 'space', 'professional', 'game', 'event']",2
187,"['top', 'story', 'pwillemarck', 'wework', 'board', 'member', 'seek', 'remove', 'adam', 'neumann', 'ceo', 'wsj', 'see']",2
188,"['wework', 'say', 'divest', 'non-core', 'business']",2
189,"['still', 'wait', 'pay', 'u', 'invoice', 'year', 'ago', 'yet', 'continue', 'collect', 'rent', 'u', 'get', 'point', 'something', 'billion', 'dollar', 'payout']",1
190,"['attention', 'young', 'professional', 'not', 'miss', 'opportunity', 'network', 'business', 'professional', 'month', 'free', 'upcoming', 'chamber', 'connection', 'wework', 'register']",2
191,"['wework', 'security', 'always', 'look', 'homeless', 'person', 'walk', 'dev', 'square', 'maybe', 'need', 'boujie', 'gym', 'clothes']",1
192,"['watch', 'alistair', 'elliott', 'senior', 'partner', 'group', 'chairman', 'speak', 'uk']",2
193,"['look', 'great', 'would', 'happy', 'host', 'thathttp']",2
194,"['wework', 'ceo', 'step', 'company', 'reportedly', 'considers', 'layoff', 'crunchbase', 'news']",2
195,"['run', 'ponzi', 'scheme']",1
196,"['vcs', 'complicit', 'pump', 'dump', 'not', 'crime']",1
197,"['happens', 'wework', 'run', 'cash']",2
198,"['wework', 'look', 'sell', 'spin', 'acquisition', 'include', 'seo', 'firm', 'conductor']",2
199,"['wake', 'casper', 'mattress', 'work', 'peloton', 'breakfast', 'uber', 'desk', 'wework', 'doordash', 'lunch', 'take', 'lyft', 'home', 'get', 'dinner', 'postmates', 'interact', 'seven', 'company', 'collectively', 'lose', 'nearly', '14', 'billion', 'year']",1
200,"['huge', 'break', 'news', 'report', 'wework', 'actually', 'head', 'compete', 'airbnb', 'whole', 'time', 'home', 'share', 'company', 'scoop', 'seriously', 'copy', 'edit', 'thing', 'mistake', 'first', 'sentence']",2
201,"['thrill', 'host', 'important', 'workshop', 'hq', 'day', 'personal', 'safety', 'training', 'workshop', 'non', 'binary', 'officially', 'underway']",2
202,"['well', 'know', 'would', 'would', 'zia', 'home', 'alone']",2
203,"['wework', 'accepts', 'softbank', 'takeover', 'offer']",2
204,"['softbank', 'value', 'wework', 'billion', 'mark', 'financial', 'rescue', 'plan', 'funding', 'wework', '47', 'billion', 'valuation', 'january', 'softbank', 'set', 'rescue', 'office', 'share', 'company', 'financing', 'plan', 'value', 'company']",2
205,"['hmmm', 'wework', 'ebay', 'well', 'fargo', '2019', 'see', 'mass', 'exodus', 'ceo', 'u']",2
206,"['wework', 'look', 'sell', 'spin', 'acquisition', 'include', 'seo', 'firm', 'conductor']",2
207,"['give', 'information', 'investor', 'line', 'participate', 'say', 'capital', 'market']",2
208,"['wework', 'parent', 'company', 'reportedly', 'delay', 'idiotic', 'ipo', 'plan']",1
209,"['iam', 'platform', 'curated', 'tweet', 'short', 'seller', 'snap', 'wework', 'debt', 'amid', 'concern', 'future']",2
210,"['thus', 'tale', 'company', 'call', 'could', 'great', 'another', 'clown', 'many', 'pipe', 'hate', 'many', 'lesson', 'learn', 'keep', 'company', 'trouble', 'take', 'away', 'make', 'sure', 'not', 'pop', 'bubble']",1
211,"['1/2', 'wholeheartedly', 'disagree', 'fast', 'company', 'piece', 'genius', 'refer', 'wework', 'ceo', 'elon', 'mush', 'co', 'genius', 'always', 'exist', 'not', 'specific', 'start-up', 'culture', 'darwin', 'alexander', 'von', 'humboldt', 'seneca', 'visionary', 'push', 'culture', 'forward']",1
212,"['wework', 'darling', 'startup', 'world', 'not', 'long', 'ago', 'entire', 'company', 'image', 'gutter', 'every', 'article', 'since', 'announce', 'intention', 'go', 'public', 'negative', 'say', 'caught', 'musk']",1
213,"['wework', 'expect', 'sack', 'least', '2,000', 'people', 'soon', 'week', 'angry', 'staff', 'troubled', 'office', 'rental', 'company', 'turn', 'co-founder', 'adam', 'neumann']",1
214,"['wework', 'weighs', 'slash', 'valuation', 'half', 'amid', 'ipo', 'skepticism', 'ok', 'overvalue', '50x', 'not', '100x']",2
215,"['ceo', 'exit', 'record', 'pace', 'wework', 'juul', 'ebay', 'boss', 'last', '24', 'hour']",2
216,"['keiser', 'report', 'wework', 'never', 'forget', 'e1443', 'via']",2
217,"['wework', 'startup', 'party', 'end', '2,000', 'job', 'set', 'cut']",2
218,"['wework', 'rein', 'ceo', 'adam', 'neumann', 'save', 'ipo', 'axios']",2
219,"['start', 'pool', 'ipo', 'come', 'first', 'aramco', 'wework']",2
220,"['ipo', 'debacle', 'miss', 'something', 'start', 'spending', 'via']",1
221,"['wework', 'weighs', 'slash', 'valuation', 'half']",2
222,"['wework', 'adam', 'neumann', 'become', 'billionaire', 'atlantic']",2
223,"['nyu', 'professor', 'scott', 'galloway', 'say', 'era', 'startup', 'grow', 'cost', 'come', 'close', 'mean', 'uber', 'likely', 'go', 'change', 'business', 'model']",2
224,"['wework', 'expose', 'astronomical', 'amount', 'data', 'poorly', 'protect', 'wifi', 'network']",1
225,"['wework', 'late', 'threat', 'old-school', 'landlord', 'try', 'copy', 'wework']",2
226,"['business', 'insider', 'make', 'documentary', 'unravel', 'world', 'valuable', 'startup', 'hit', 'netflix', 'producer', 'business', 'insider']",2
227,"['yep', 'wework', 'ipo', 'failure', 'fallout']",1
228,"['softbank', 'bail', 'wework', 'day', 'week', 'ago', '1st', 'thing', 'come', 'mind', 'softbank', 'somehow', 'sell', 'business', 'asset', 'regus', 'something', 'dunno']",2
229,"['tequila', 'private', 'jet', 'run-dmc', 'adam', 'neumann', 'built', 'wework', 'unique', 'way', 'struggle', 'translate', 'success', 'ipo', 'drunken', 'pot', 'fine', 'meat', 'building', 'dismissible', 'offense', 'primary', 'diet', 'tequila', 'mj']",1
